building_name,code,map_number,category,sustainability_relevance,source_url,status
Anderson Student Center,ASC,28,student_center,LEED Gold; major campus hub,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Anderson Parking Facility,APF,65,parking,EV charging; secure bike storage,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Binz Refectory,BIN,67,dining,Compost-collection milestone in sustainability plan,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Brady Educational Center,BEC,68,academic,Near Brady Hall solar milestone in sustainability plan,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Center for Microgrid Research / Greenhouse,,61,energy_research,Microgrid expansion connects up to 9 buildings,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Frey Residence Hall,FYH,8,residential,LEED Platinum; bike storage and EV charging nearby,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Murray-Herrick Campus Center,MHC,7,student_life,Residential / student hub,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
O'Shaughnessy Educational Center,OEC,5,academic,Office of Sustainability Initiatives in OEC 1st floor,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
O'Shaughnessy-Frey Library Center,LIB,4,library,Core campus academic node,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
O'Shaughnessy Science Hall,OSS,62,science,High-lab / science node,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Owens Science Hall,OWS,60,science,Bike repair station outside west entrance,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
O'Shaughnessy Stadium,STA,26,athletics,Bike repair station south side,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Schoenecker Center,SCC,63,steam,LEED Gold; STEAM hub,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Schoenecker Hall North,SHN,11,residential,LEED Silver; bike storage and EV charging,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Center for Well-Being,CWB,50,student_services,Key campus service node,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
Archbishop Ireland Memorial Library,IRL,72,library,Academic node on south campus edge,https://www.stthomas.edu/_media-library/_documents/main/st-paul-campus-map-by-building-name.pdf,confirmed_on_map
